stop_id,stop_lat,stop_lon,stop_name,nearest_washroom_id,washroom_latitude,washroom_longitude,distance,washroom_address
15827.0,28.561131182368,77.2008700243248,Arjun Nagar,PTU‐13‐001,28.56206,77.20727,633.5156028377365,PTU near entry point Yusuf Sarai at Aurobindo Marg
15355.0,28.56151842,77.18827149,Ch Harsukh Marg,PTU‐11‐023,28.57022,77.18604,991.8094522666112,"PTU at Nauroji Nagar Market, Ring Road"
2378.0,28.561602,77.18824,R K Puram Sec-2,PTU‐11‐023,28.57022,77.18604,982.0676335670734,"PTU at Nauroji Nagar Market, Ring Road"
12160.0,28.561602,77.18824,R K Puram Sec-2,PTU‐11‐023,28.57022,77.18604,982.0676335670734,"PTU at Nauroji Nagar Market, Ring Road"
2200.0,28.561654,77.188401,R K Puram Sec-2,PTU‐11‐023,28.57022,77.18604,980.0060554732916,"PTU at Nauroji Nagar Market, Ring Road"
11996.0,28.561654,77.188401,R K Puram Sec-2,PTU‐11‐023,28.57022,77.18604,980.0060554732916,"PTU at Nauroji Nagar Market, Ring Road"
14791.0,28.56199825,77.18854835,Green Field S,PTU‐11‐023,28.57022,77.18604,946.4665988768757,"PTU at Nauroji Nagar Market, Ring Road"
1020.0,28.5626,77.2074,Yusuf Sarai,PTU‐13‐001,28.56206,77.20727,61.37282773538492,PTU near entry point Yusuf Sarai at Aurobindo Marg
10953.0,28.5626,77.2074,Yusuf Sarai,PTU‐13‐001,28.56206,77.20727,61.37282773538492,PTU near entry point Yusuf Sarai at Aurobindo Marg
845.0,28.5627,77.2077,Yusuf Sarai,PTU‐13‐001,28.56206,77.20727,82.6315924541595,PTU near entry point Yusuf Sarai at Aurobindo Marg
10789.0,28.5627,77.2077,Yusuf Sarai,PTU‐13‐001,28.56206,77.20727,82.6315924541595,PTU near entry point Yusuf Sarai at Aurobindo Marg
4868.0,28.563067,77.18,RK Puram Sec 1-4,PTU‐12‐009,28.57064,77.18386,922.602937930282,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
13865.0,28.563067,77.18,RK Puram Sec 1-4,PTU‐12‐009,28.57064,77.18386,922.602937930282,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
14815.0,28.5632415,77.18870849999998,Safdarjung Enclave,PTU‐11‐023,28.57022,77.18604,818.5646493374122,"PTU at Nauroji Nagar Market, Ring Road"
1060.0,28.563268,77.178557,RK Puram Sec 1,PTU‐12‐009,28.57064,77.18386,969.6160904900952,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
10992.0,28.563268,77.178557,RK Puram Sec 1,PTU‐12‐009,28.57064,77.18386,969.6160904900952,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
2204.0,28.564139,77.178605,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,886.519731044939,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
12000.0,28.564139,77.178605,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,886.519731044939,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
15826.0,28.5642078178539,77.2005557211449,CH Harsukh Marg,PTU‐13‐010,28.56947,77.204,674.9176300931919,PTU opp. Safdarjung Hospital Gate at Ring Road
3603.0,28.564222,77.179815,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,815.6833668676717,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
13126.0,28.564222,77.179815,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,815.6833668676717,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
3051.0,28.56436,77.18025,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,782.2502564066946,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
12715.0,28.56436,77.18025,RK Puram Sec-1,PTU‐12‐009,28.57064,77.18386,782.2502564066946,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
15303.0,28.56461,77.179665,R.K. Puram Sec-1,PTU‐12‐009,28.57064,77.18386,785.7537791710447,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
1059.0,28.564697,77.178246,R K Puram Sec-1 2,PTU‐12‐009,28.57064,77.18386,858.6466082422735,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
10991.0,28.564697,77.178246,R K Puram Sec-1 2,PTU‐12‐009,28.57064,77.18386,858.6466082422735,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
14683.0,28.5647,77.1783,R K Puram Sec-1,PTU‐12‐009,28.57064,77.18386,855.0313800374714,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
2379.0,28.564869,77.188919,Mohammadpur Village,PTU‐11‐023,28.57022,77.18604,658.086852477808,"PTU at Nauroji Nagar Market, Ring Road"
12161.0,28.564869,77.188919,Mohammadpur Village,PTU‐11‐023,28.57022,77.18604,658.086852477808,"PTU at Nauroji Nagar Market, Ring Road"
14719.0,28.564883,77.188917,Mohammadpur Village,PTU‐11‐023,28.57022,77.18604,656.5960772549868,"PTU at Nauroji Nagar Market, Ring Road"
2199.0,28.565068,77.189089,Mohammadpur Village,PTU‐11‐023,28.57022,77.18604,645.6365070587979,"PTU at Nauroji Nagar Market, Ring Road"
11995.0,28.565068,77.189089,Mohammadpur Village,PTU‐11‐023,28.57022,77.18604,645.6365070587979,"PTU at Nauroji Nagar Market, Ring Road"
2196.0,28.565182,77.199371,Kamal Cinema,PTU(Petrol Pump 17),28.5699922,77.1968493,588.8386691489387,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
11992.0,28.565182,77.199371,Kamal Cinema,PTU(Petrol Pump 17),28.5699922,77.1968493,588.8386691489387,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
2382.0,28.565224,77.198868,Kamal Cinema,PTU(Petrol Pump 17),28.5699922,77.1968493,565.6643730335327,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
12164.0,28.565224,77.198868,Kamal Cinema,PTU(Petrol Pump 17),28.5699922,77.1968493,565.6643730335327,150  8th Cross Rd  Block G I  Sarojini Nagar  New Delhi  Delhi 110023  India
3052.0,28.565608,77.177088,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,866.2778421997132,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
12716.0,28.565608,77.177088,Mohan Singh Market,PTU‐12‐009,28.57064,77.18386,866.2778421997132,"PTU opp. Hyatt Hotal, Palika Bhawan Ring Road"
2197.0,28.565983,77.194183,Green Field School,PTU‐11‐024,28.56882,77.19419,315.4607475737054,PTU at Naroji Nagar Mkt.
11993.0,28.565983,77.194183,Green Field School,PTU‐11‐024,28.56882,77.19419,315.4607475737054,PTU at Naroji Nagar Mkt.
2381.0,28.566019,77.194119,Green Field School,PTU‐11‐024,28.56882,77.19419,311.5341590980984,PTU at Naroji Nagar Mkt.
12163.0,28.566019,77.194119,Green Field School,PTU‐11‐024,28.56882,77.19419,311.5341590980984,PTU at Naroji Nagar Mkt.
2198.0,28.566185,77.191211,Safdurjang Enclave,PTU‐11‐024,28.56882,77.19419,412.896479935008,PTU at Naroji Nagar Mkt.
11994.0,28.566185,77.191211,Safdurjang Enclave,PTU‐11‐024,28.56882,77.19419,412.896479935008,PTU at Naroji Nagar Mkt.
5112.0,28.5662,77.1891,Bhikaji Kama Place,PTU‐11‐023,28.57022,77.18604,537.690825017712,"PTU at Nauroji Nagar Market, Ring Road"
